Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,X,
1,11,SPC,NONE,0.680561106,0.027214913,607961740.8,435336873.9,2136431.52,1533762.967,0.723779411,-0.002015673,,
1,11,TPC,MPOLY,0.680612662,0.022684427,649682412.8,472109059.9,1977127.84,1381585.741,0.723236537,-0.00082955,,
1,11,TPC,MNOUNIF,0.676742349,0.024420787,640057385,503313449.7,1845131.68,1353348.934,0.723116871,0.001175706,,
1,11,TPC,NONE,0.68083553,0.025042733,610170942.7,445161678.7,2007170.72,1505001.621,0.723644816,0.000593411,,
1,11,UC,MPOLY,0.676480252,0.025618668,620364487.7,485925378.6,1746041.76,1299569.317,0.723210158,0.000731318,,
1,11,UC,MNOUNIF,0.677009516,0.023908193,638784883.2,504278343,1844681.12,1352865.525,0.723116871,0.000902365,,
1,11,UC,NONE,0.681397799,0.026580543,618572239.4,475544830.4,2072459.68,1548655.994,0.723436648,-0.000560113,,
1,11,SBX,MPOLY,0.675458758,0.026492727,564611877.1,427642475.7,1782242.72,1359431.396,0.723613414,0.000496544,,
1,11,SBX,MNOUNIF,0.676890182,0.023407903,638805666.6,504355420.3,1838526.88,1358200.05,0.7231249,0.001301238,,
1,11,SBX,NONE,0.682280226,0.023578976,701974661.1,538228028.7,2037034.4,1452912.759,0.723329527,0.002028454,,
1,11,NONE,MPOLY,0.67746834,0.025296933,642938889,501112782.3,1849574.56,1317416.509,0.723160886,0.001737079,,
1,11,NONE,MNOUNIF,0.677009516,0.023908193,638784883.2,504278343,1844681.12,1352865.525,0.723116871,0.001815903,,
1,11,SBX,MPOLY,0.675458758,0.026492727,564611877.1,427642475.7,1782242.72,1359431.396,0.723613414,0.000496544,"['SPC_MBFLIP', 'NONE_MNOUNIF', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'TPC_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'NONE_MNOUNIF': 1, 'SBX_MPOLY': 4, 'UC_MPOLY': 3, 'SPC_MPOLY': 1, 'TPC_MPOLY': 2}"
1,12,SPC,MPOLY,0.674969405,0.028709037,551489163.5,420192596.5,1830109.6,1507012.397,0.72668915,0.002607652,,
1,12,SPC,MNOUNIF,0.675458758,0.026492727,564611877.1,427642475.7,1782242.72,1359431.396,0.723613414,0.000496544,,
1,12,SPC,NONE,0.675317381,0.033874121,525149541.1,409076374.1,2071408.8,1676136.38,0.725564719,0.001785308,,
1,12,TPC,MPOLY,0.677044243,0.026574245,580507685.1,431777134.7,1892484,1506057.9,0.724584002,0.001347465,,
1,12,TPC,MNOUNIF,0.676224617,0.025732728,603225547.5,555706549.7,1837762.72,1420574.581,0.724383313,0.001266442,,
1,12,TPC,NONE,0.674564498,0.031299932,493630397.4,440424687.3,1770377.12,1546878.562,0.724253043,0.000608227,,
1,12,UC,MPOLY,0.676982601,0.02768377,591066058.2,423541434.9,1931672.48,1425239.828,0.724206222,0.000996064,,
1,12,UC,MNOUNIF,0.675493992,0.027243343,592383084.8,489826207.3,1824546.72,1398687.314,0.725647822,0.002530951,,
1,12,UC,NONE,0.677439842,0.032630347,644117166.1,516208974.8,2165383.84,1707181.644,0.724095871,0.000659223,,
1,12,SBX,MPOLY,0.676165313,0.027300523,559859552,389057273.2,1845131.68,1421792.78,0.727022971,0.003409557,,
1,12,SBX,MNOUNIF,0.675077656,0.026877028,564434269.4,427811295.2,1782986.4,1358814.924,0.723615687,0.000490787,,
1,12,SBX,NONE,0.677507572,0.025695532,503719753,366794034.5,1713710.24,1310805.955,0.723685127,0.0003556,,
1,12,NONE,MPOLY,0.676462427,0.025937511,558199182.1,417575109.4,1840496.8,1442059.053,0.727173819,0.004012933,,
1,12,NONE,MNOUNIF,0.675475602,0.026458442,564546718.7,427703571.4,1781543.84,1360046.578,0.723613414,0.000496544,,
