Execution,Generation,HD_P1,HD_P2,HD_BM,HD_PB,Succ_Crossover_ratio,Succ_Mutation_ratio,NFHT,HV
10,3.0,0.0,0.0,0.375,0.375,0.18,0.285,0.1,0.6946465227491422
10,4.0,0.0,0.0,0.375,0.0,0.12,0.31,0.1,0.6968686757113622
10,5.0,0.75,0.125,0.25,0.875,0.21,0.33,0.1666666666666666,0.6971537303050698
10,6.0,0.0,0.0,0.5,1.0,0.11,0.31,0.2,0.7059365575982205
10,7.0,0.0,0.0,0.5,0.0,0.17,0.26,0.2,0.7078777564081218
10,8.0,0.0,0.0,0.5,0.0,0.1,0.32,0.2,0.707962454732058
10,9.0,0.0,0.0,0.5,0.0,0.12,0.32,0.2,0.7104971374515179
10,10.0,0.0,0.0,0.5,0.0,0.18,0.305,0.2,0.7148816192545933
10,11.0,0.0,0.0,0.5,0.0,0.13,0.255,0.2,0.7149950387823953
10,12.0,0.0,0.0,0.5,0.0,0.13,0.375,0.2,0.7151361676017802
10,13.0,0.0,0.0,0.5,0.0,0.12,0.28,0.2,0.7152907747315689
10,14.0,0.0,0.0,0.5,0.0,0.1,0.25,0.2,0.7154155577032529
10,15.0,0.0,0.0,0.5,0.0,0.21,0.25,0.2,0.7156884080356487
